dataset_id,dataset_name,source_suite,total_instances,total_features,numeric_features,numeric_proportion,minority_class_proportion,epv
1049,pc4,OpenML_AutoML,1458,46,34,0.7391,0.1221,3.4826
41150,MiniBooNE,OpenML_AutoML,130064,50,50,1.0,0.2806,50.5122
40983,wilt,OpenML_AutoML,4839,5,5,1.0,0.0539,46.98
40701,churn,OpenML_AutoML,5000,29,16,0.5517,0.1414,21.9414
1494,qsar-biodeg,OpenML_AutoML,1055,71,29,0.4085,0.3374,4.5127
1489,phoneme,OpenML_AutoML,5404,5,5,1.0,0.2935,285.48
1486,nomao,OpenML_AutoML,34465,177,74,0.4181,0.2856,14.5232
1464,blood-transfusion-service-center,OpenML_AutoML,748,4,4,1.0,0.238,40.05
1067,kc1,OpenML_AutoML,2109,21,21,1.0,0.1546,13.9714
1510,wdbc,OpenML_CC18,569,30,30,1.0,0.3726,6.36
15,breast-w,OpenML_CC18,699,16,8,0.5,0.3448,13.5562
37,diabetes,OpenML_CC18,768,8,8,1.0,0.349,30.15
1050,pc3,OpenML_CC18,1563,43,36,0.8372,0.1024,3.3488
1063,kc2,OpenML_CC18,522,27,20,0.7407,0.205,3.5667
44,spambase,OpenML_CC18,4601,57,57,1.0,0.394,28.6263
1068,pc1,OpenML_CC18,1109,21,21,1.0,0.0694,3.3
1462,banknote-authentication,OpenML_CC18,1372,4,4,1.0,0.4446,137.25
1480,ilpd,OpenML_CC18,583,10,9,0.9,0.2864,15.03
23512,higgs,OpenML_OpenML100,98050,32,24,0.75,0.4714,132.5876
1504,steel-plates-fault,OpenML_OpenML100,1941,34,24,0.7059,0.3467,17.8147
1471,eeg-eye-state,OpenML_OpenML100,14980,14,14,1.0,0.4488,288.5133
1046,mozilla4,OpenML_OpenML100,15545,5,4,0.8,0.3286,591.4699
1120,MagicTelescope,OpenML_OpenML100,19020,10,10,1.0,0.3516,316.4669
PMLB_saheart,saheart,PMLB,462,9,8,0.8889,0.3463,16.0
PMLB_profb,profb,PMLB,672,12,6,0.5,0.3333,16.8
PMLB_bupa,bupa,PMLB,345,5,5,1.0,0.4899,30.42
PMLB_haberman,haberman,PMLB,306,3,3,1.0,0.2647,24.3
PMLB_clean2,clean2,PMLB,6598,168,168,1.0,0.1541,5.4482
PMLB_irish,irish,PMLB,500,6,3,0.5,0.444,33.3
PMLB_tokyo1,tokyo1,PMLB,959,54,37,0.6852,0.3608,5.7667
